0X00,NULL
0X01,LEFT MOUSE BUTTON
0X02,RIGHT MOUSE BUTTON
0X03,CONTROL-BREAK PROCESSING
0X04,MIDDLE MOUSE BUTTON
0X05,X1 MOUSE BUTTON
0X06,X2 MOUSE BUTTON
0X07,UNDEFINED
0X08,BACKSPACE
0X09,TAB
0X0C,CLEAR
0X0D,ENTER
0X10,SHIFT
0X11,CTRL
0X12,ALT
0X13,PAUSE
0X14,CAPS LOCK
0X1B,ESC
0X20,SPACEBAR
0X21,PAGE UP
0X22,PAGE DOWN
0X23,END
0X24,HOME
0X25,LEFT ARROW
0X26,UP ARROW
0X27,RIGHT ARROW
0X28,DOWN ARROW
0X29,SELECT
0X2A,PRINT
0X2B,EXECUTE
0X2C,PRINT SCREEN
0X2D,INS
0X2E,DEL
0X2F,HELP
0X30,0
0X31,1
0X32,2
0X33,3
0X34,4
0X35,5
0X36,6
0X37,7
0X38,8
0X39,9
0X41,A
0X42,B
0X43,C
0X44,D
0X45,E
0X46,F
0X47,G
0X48,H
0X49,I
0X4A,J
0X4B,K
0X4C,L
0X4D,M
0X4E,N
0X4F,O
0X50,P
0X51,Q
0X52,R
0X53,S
0X54,T
0X55,U
0X56,V
0X57,W
0X58,X
0X59,Y
0X5A,Z
0X5B,LEFT WINDOWS (NATURALBOARD) 
0X5C,RIGHT WINDOWS (NATURALBOARD)
0X5D,APPLICATIONS (NATURALBOARD)
0X5F,COMPUTER SLEEP
0X60,NUMERICPAD 0
0X61,NUMERICPAD 1
0X62,NUMERICPAD 2
0X63,NUMERICPAD 3
0X64,NUMERICPAD 4
0X65,NUMERICPAD 5
0X66,NUMERICPAD 6
0X67,NUMERICPAD 7
0X68,NUMERICPAD 8
0X69,NUMERICPAD 9
0X6A,MULTIPLY
0X6B,ADD
0X6C,SEPARATOR
0X6D,SUBTRACT
0X6E,DECIMAL
0X6F,DIVIDE
0X70,F1
0X71,F2
0X72,F3
0X73,F4
0X74,F5
0X75,F6
0X76,F7
0X77,F8
0X78,F9
0X79,F10
0X7A,F11
0X7B,F12
0X7C,F13
0X7D,F14
0X7E,F15
0X7F,F16
0X80,F17
0X81,F18
0X82,F19
0X83,F20
0X84,F21
0X85,F22
0X86,F23
0X87,F24
0X90,NUM LOCK
0X91,SCROLL LOCK
0XA0,LEFT SHIFT
0XA1,RIGHT SHIFT
0XA2,LEFT CONTROL
0XA3,RIGHT CONTROL
0XA4,LEFT MENU
0XA5,RIGHT MENU
0XA6,BROWSER BACK
0XA7,BROWSER FORWARD
0XA8,BROWSER REFRESH
0XA9,BROWSER STOP
0XAA,BROWSER SEARCH 
0XAB,BROWSER FAVORITES
0XAC,BROWSER START AND HOME
0XAD,VOLUME MUTE
0XAE,VOLUME DOWN
0XAF,VOLUME UP
0XB0,NEXT TRACK
0XB1,PREVIOUS TRACK
0XB2,STOP MEDIA
0XB3,PLAY/PAUSE MEDIA
0XB4,START MAIL
0XB5,SELECT MEDIA
0XB6,START APPLICATION 1
0XB7,START APPLICATION 2
0XBA,;
0XBB,+
0XBC,,
0XBD,-
0XBE,.
0XBF,/
0XC0,~
0XDB, [
0XDC,\
0XDD,]
0XDE,'"
0XDF,MISCELLANEOUS CHARACTERS
0XE2,ANGLE BRACKET OR BACKSLASH ON RT 102-KEY KEYBOARD
0XF6,ATTN
0XF7,CRSEL
0XF8,EXSEL
0XF9,ERASE EOF
0XFA,PLAY
0XFB,ZOOM
0XFC,RESERVED 
0XFD,PA1
0XFE,CLEAR
